date,sku,name,category,units_sold,unit_price,revenue,phase
2023-08-21,ITS-STR,Strawberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-21,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-21,ITS-BLU,Blueberry Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-21,DRK-MAT,Matcha Lemonade,Custom Drink,1,4.25,4.25,baseline
2023-08-21,DRK-STR,Strawberry Milk,Custom Drink,1,3.75,3.75,baseline
2023-08-21,ENR-RBU,Red Bull Original,Energy Drink,2,3.75,7.5,baseline
2023-08-21,SFT-COK,Coca-Cola,Soft Drink,3,1.75,5.25,baseline
2023-08-21,SFT-SPR,Sprite,Soft Drink,1,1.75,1.75,baseline
2023-08-21,SFT-DRP,Dr Pepper,Soft Drink,2,1.75,3.5,baseline
2023-08-21,SFT-LEM,Lemonade,Soft Drink,1,1.75,1.75,baseline
2023-08-21,SNK-CHC,Chocolate Chip Cookie,Baked Good,1,2.0,2.0,baseline
2023-08-21,SNK-BRW,Brownie,Baked Good,1,2.5,2.5,baseline
2023-08-21,SNK-PMP,Pumpkin Muffin,Baked Good,1,2.75,2.75,baseline
2023-08-21,CND-GUM,Orbit Gum,Candy & Gum,2,1.5,3.0,baseline
2023-08-21,CND-RBB,Sour Patch Kids,Candy & Gum,4,2.0,8.0,baseline
2023-08-21,CND-SKT,Skittles,Candy & Gum,1,1.75,1.75,baseline
2023-08-21,CND-MNT,Altoids,Candy & Gum,1,2.0,2.0,baseline
2023-08-21,CHP-LAY,Lays Classic,Chips,1,1.5,1.5,baseline
2023-08-21,CHP-DRT,Doritos Nacho,Chips,2,1.5,3.0,baseline
2023-08-22,ITS-STR,Strawberry Italian Soda,Italian Soda,4,3.5,14.0,baseline
2023-08-22,ITS-PAS,Passion Fruit Italian Soda,Italian Soda,3,3.5,10.5,baseline
2023-08-22,ITS-BLU,Blueberry Italian Soda,Italian Soda,2,3.5,7.0,baseline
2023-08-22,ITS-PEA,Peach Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-22,ITS-COC,Coconut Italian Soda,Italian Soda,1,3.5,3.5,baseline
2023-08-22,DRK-MAT,Matcha Lemonade,Custom Drink,2,4.25,8.5,baseline
